continent,location,population,human_development_index,extreme_poverty,male_smokers,female_smokers,population_density,Infected_Percentage_of_Population,Died_Percentage_of_Infected,count_of_deaths,count_of_infectetion,recovered_percentage
Asia,Iraq,44496124,67.40,2.50,NULL,NULL,881.25,5.54,1.03,25375,2465545,98.97
Oceania,Australia,26177410,94.40,0.50,16.50,13.00,32.02,45.08,0.21,24886,11799677,99.79
Africa,Egypt,110990096,70.70,1.30,50.10,0.20,979.99,0.46,4.81,24830,516023,95.19
Europe,Netherlands,17564020,94.40,NULL,27.30,24.40,5085.44,49.16,0.27,22986,8635061,99.73
Europe,Austria,8939617,92.20,0.70,30.90,28.40,1067.49,68.03,0.37,22534,6081287,99.63
South America,Bolivia,12224114,71.80,7.10,NULL,NULL,102.02,9.80,1.87,22384,1198018,98.13
Europe,Slovakia,5643455,8.60,0.70,37.70,23.10,1131.28,33.27,1.13,21224,1877558,98.87
North America,Guatemala,17843914,66.30,8.70,NULL,NULL,1578.34,7.01,1.62,20200,1250317,98.38
South America,Paraguay,6780745,72.80,1.70,21.60,5.00,171.44,10.85,2.70,19880,735759,97.30
Asia,Myanmar,54179312,58.30,6.40,35.20,6.30,817.21,1.18,3.04,19494,641837,96.96
Asia,Kazakhstan,19397998,82.50,0.10,43.10,7.00,66.81,7.75,1.27,19072,1503687,98.73
Europe,Croatia,4030361,85.10,0.70,39.90,34.30,737.26,32.50,1.43,18687,1309728,98.57
Europe,Serbia,6871547,80.60,NULL,40.20,37.70,802.91,37.60,0.70,18057,2583470,99.30
Asia,Georgia,3744385,81.20,4.20,55.50,5.30,650.32,49.55,0.92,17132,1855289,99.08
Asia,Sri Lanka,21832150,78.20,0.70,27.00,0.30,3419.55,3.08,2.51,16897,672750,97.49
